actor,pessoa
eclipse,2354265
mmazur,426825
,406032
nyarla,289598
tbonfort,248762
Try-Git,234419
techradical,154230
chapuni,132073
mapserver-trac-importer,117210
hcilab,101578
aruiz,81336
beneater,68755
lukaseder,57874
bcomdlc,56120
freebsd,56064
travisbot,54994
43one,53749
cm-gerrit,50155
KhanBugz,45794
hughht5,45125
DannyBenassi,43314
CristiRo7,42900
openstack-gerrit,41892
fxsapa,39708
ehsan,38505
brianchandotcom,35014
pld-linux,34046
DeepDiver1975,33628
travis4all,33460
goneri,32159
nebkat,28902
trac2github,27300
stof,26820
gnuhub,26609
juggalomc,26409
khole,26220
dineshkummarc,25457
adamv,25257
fabpot,24646
stuartw,24382
visionmedia,23902
mon5,23763
thouis,23514
CloudDotCom,22711
mirror-updates,21934
equus12,21891
SergeyZh,21557
jcrigby,20976
PixieCode,19729
tarsius,19582
vmware-ac-gerrit,19301
hwine,19159
jboss-as-pull-request,19026
jacknagel,18726
AsherBond,17672
cvan,17154
ns-codereview,17067
mitar,17016
dirk-thomas,16981
galthaus,16938
llvm-mirror,16797
mpdehaan,16775
numpy-gitbot,16726
radar,16563
antoniovazquezblanco,16476
papti247,15930
jelovirt,15559
springmeyer,15280
kwrobot,15261
mnbvcv,15195
all4senses,15163
svn2github,15039
thatch45,14941
runningforworldpeace,14816
slide,14786
idor,14693
gnudeep,14632
govuk-ci,14417
badwolf9,14407
node-migrator-bot,14214
isaacs,13992
bnoordhuis,13785
josevalim,13515
vrabaud,13480
brson,13477
bos,13399
wmfgerrit,13274
cogent-buildbox,13261
markdotto,13232
entoo,13005
das7878,13005
cognovis,12931
csjaba,12797
xeno-by,12737
nuxeojenkins,12445
taolee,12364
scala-jenkins,12053
ns-buildbot,12004
weierophinney,12003
willdurand,11879
paulmillr,11862
rafaelfranca,11834
aheritier,11788
michaelklishin,11781
Seldaek,11737
dnschnur,11593
demobox,11585
timdream,11390
nexedi,11159
batopa,11115
nbp,11088
steveklabnik,11009
kou,11006
roojs,10952
tmcw,10884
vingtetun,10690
Ponce,10688
MrDys,10676
gavinking,10633
davidfowl,10607
kennethreitz,10519
textcube-dev,10477
parndt,10462
richardkchapman,10395
durran,10392
slinkp,10350
JonFerraiolo,10281
mpapis,10208
koenkooi,10205
lsmith77,10144
dankamongmen,10116
itroot,10092
butterbot,10061
mrdoob,10038
travp624,10014
mindfreakthemon,9835
sindresorhus,9806
TwistedUmbrella,9801
circle-test-organization,9738
VictorLowther,9708
carlosantoniodasilva,9662
ultra2,9645
gckjdev,9622
viktorklang,9565
maandree,9521
danielrobbins,9507
livetv20,9503
spurious,9464
isucan,9440
moovops,9435
networkx-trac,9420
dhacker29,9367
akakja,9285
romainneutron,9253
dscho,9225
wesm,9209
kripken,9198
Maks3w,9197
Nephyrin,9192
smichr,9182
rcbjenkins,9141
leofeyer,9139
openshift-bot,9119
Ratmir15,9097
amueller,9076
LorDClockaN,9027
irrationalfab,8993
redsky17,8987
gerrit-ovirt-org,8967
geemus,8959
jfarcand,8881
mattn,8826
phil65,8747
aokp-gerrit,8745
cesine,8742
BMc08GT,8705
jcfr,8691
rugby11,8664
2bits,8634
foswiki,8600
CloCkWeRX,8595
dnbrv,8564
beberlei,8417
dodefey,8417
strk,8408
hhuijser,8406
markjaquith,8391
sferik,8385
nicholasbishop,8369
whimboo,8348
dalehenrich,8343
FroMage,8318
Diapolo,8318
JMSBot,8317
pabna989,8300
lloyd,8280
tpruvot,8238
msabramo,8189
minrk,8184
addyosmani,8166
hbons,8153
oetiker,8104
JSansalone,8100
wagenet,8095
sharyanto,8086
realityking,8065
modbot,8060
taylorotwell,8059
dcramer,8057
TooTallNate,8020
asmeurer,8013
graemeg,8009
jrburke,7975
alexrp,7838
marschall,7821
sylus,7791
ixti,7748
Ocramius,7743
bigeasy,7708
planetsympy2,7699
FingerFeat,7675
jvrao,7671
galderz,7663
snoyberg,7651
avoidwork,7649
jsonn,7645
aclark4life,7641
stonier,7633
alexberesnev,7630
Toflar,7625
scmaccal,7623
joamag,7622
pyjs-org,7615
willkg,7578
netconstructor,7527
Shougo,7493
bstansberry,7472
pulimento,7417
andymckay,7410
qzminski,7398
mikejolley,7377
timrdf,7349
pjackson28,7344
frodsan,7314
joelpt,7302
slandelle,7295
sssumi00,7263
jbuck,7259
rabbitmq-github,7254
astrofrog,7249
chillu,7249
igorw,7227
jashkenas,7222
jwiegley,7203
jonathanroy,7197
sakuro,7189
amosbot,7180
mbostock,7175
domenic,7168
Raynos,7146
jmarshallnz,7144
bootstraponline,7111
brycelelbach,7108
jclouds,7103
twinaphex,7101
liewegas,7095
alloy,7081
php-pulls,7075
rwldrn,7069
yiminghe,7066
normanmaurer,7050
badratul01,7028
yurydelendik,7002
pjcozzi,6978
t3dev,6976
balupton,6971
jdsn,6936
sol,6932
secretrobotron,6912
patthoyts,6904
shamimkko,6884
scottgonzalez,6872
DDuarte,6870
embedthis,6869
cowtowncoder,6865
cloudedge,6863
kozmikkick,6861
buildhive,6854
ansell,6832
edoko,6818
ralphbean,6809
zillurrahman,6804
tdiesler,6796
stephenbrown1990,6793
URMI5052,6750
ednapiranha,6738
mattt,6738
synergydev,6737
v8,6736
znmeb,6736
postmodern,6732
currencybot,6724
svenfuchs,6703
Bmetz,6699
philsturgeon,6697
rsa,6694
jzaefferer,6688
adolphoamy,6684
gjtorikian,6681
DamonOehlman,6669
piscisaureus,6658
jtimberman,6646
randx,6640
technomancy,6639
narfbg,6639
bodepd,6623
scribu,6614
kisg,6613
jarib,6611
tarekziade,6581
paulp,6575
clcccc,6572
gonewsnet,6568
mattrude,6553
aschempp,6551
rande,6541
nukulb,6537
Krastanov,6536
nijel,6535
michael,6522
RuudBurger,6519
henry4j,6504
jeromeetienne,6501
Quarx2k,6494
whit537,6494
EvanDotPro,6488
uGoMobi,6462
mdipierro,6448
citizentasks,6421
dbu,6413
aheckmann,6406
babu1000,6387
jtesser,6382
lifesinger,6350
mythz,6335
fabi1cazenave,6332
ghnfghfhg,6309
rlr,6282
shane-tomlinson,6281
gitster,6259
galstrom21,6255
agentzh,6248
sigmavirus24,6238
bp323,6223
pdfjsbot,6209
omniton,6208
lightsofapollo,6202
alebellu,6197
drahosp,6191
peterbe,6182
etiennesegonzac,6152
StefanKarpinski,6141
ask,6129
nabeta,6129
portertech,6126
lassewesth,6125
paultag,6112
mahagr,6112
luke-jr,6096
markstory,6091
lmr,6085
xen-git,6084
eller86,6064
benoitc,6055
pangratz,6048
frugalware,6036
drak,6035
pippinsplugins,6034
bhearsum,6030
cpw,6000
jleben,5987
franzinc,5985
kohsuke,5980
Koha-Community,5969
dorimanx,5967
viatropos,5960
schmittjoh,5939
joliss,5934
cowboy,5933
snasir,5930
garethr,5928
maven-gae-plugin,5925
fat,5923
psabeva,5918
jlstevens,5911
wenshao,5905
christianv,5904
boostpro-gitmirror,5889
wdmchaft,5887
onyxfish,5884
jjsantos,5880
marijnh,5880
mdboom,5868
Y0ba,5863
modkha4,5862
blueimp,5845
joshmoore,5833
Krinkle,5833
Christi,5827
dagolden,5825
rgrp,5821
tlevine,5818
emdad555,5803
badharun1,5800
wch,5800
apache,5792
behlendorf,5790
jamessan,5786
agramfort,5784
hedgehog,5778
laanwj,5777
weaverryan,5772
mattbasta,5764
MayhemYDG,5761
eile,5757
tychoish,5734
glraghukishore,5729
garyrussell,5728
JeffBezanson,5710
burstlam,5691
clebertsuconic,5689
mdale,5683
philoptik,5662
pelson,5651
toolness,5648
samueljohn,5643
Gozala,5641
grosser,5634
juliocamarero,5623
jspahrsummers,5623
Sannis,5621
doubleotoo,5610
radekstepan,5602
cook-,5599
JakeWharton,5592
sc0ttkclark,5587
carrot-garden,5578
kovzol,5576
tkf,5567
TJMaynes,5566
jdalton,5562
k88hudson,5560
evgeny-goldin,5555
peterflynn,5555
jsuereth,5552
jordansissel,5549
michaelficarra,5549
kyleconroy,5540
nouiz,5537
bartvde,5537
fperez,5529
rkh,5523
mperham,5513
purcell,5508
kristianmandrup,5500
kandera,5498
rjmackay,5490
ametaireau,5487
ghalliday,5479
ekmett,5476
simplyianm,5473
rmjarvis,5468
indutny,5460
davglass,5458
lukecampbell,5458
bbannier,5456
Sanne,5452
barnabytprowe,5450
Anahkiasen,5450
Pomax,5441
josegonzalez,5438
bryan-m-hughes,5435
drnic,5427
kimchy,5413
ev-gerrit,5408
meh,5407
espenak,5401
mikeprimm,5392
9rnsr,5392
davidmcclure,5391
danberindei,5376
tierra,5374
mjschranz,5366
njx,5363
roalex,5361
Kiperr,5358
moly,5356
ndbroadbent,5355
wchen-r7,5353
shama,5349
sorin-ionescu,5349
DanielKehoe,5347
nulltoken,5316
jamesturk,5311
robn,5296
glensc,5291
pedroigor,5290
Kyohack,5280
mushroomhostage,5276
maxandersen,5270
mikemcquaid,5268
maxwell,5260
natecavanaugh,5257
clintbellanger,5246
rhelmer,5234
soundTricker,5220
blakewatters,5218
ipa-fmw,5214
paulirish,5200
mbunge,5195
boegel,5192
sbinet,5187
SthephanShinkufag,5172
skurfer,5170
opdenkamp,5168
dbounds,5163
yoctoproject-mirrors,5141
RobertCNelson,5129
prabirshrestha,5121
pmuir,5114
mendsley,5109
elemoine,5109
neersighted,5104
sefk,5092
fsouza,5088
lloydchang,5081
pjrobertson,5079
catamorphism,5075
allwinnerwk,5071
davidflanagan,5063
khussey,5061
katyhuff,5051
andyblac,5047
SteveRidout,5046
samimkkl,5046
KohaAloha,5043
blahbl4hblah,5034
franckstauffer,5022
zacc,5016
seanpaultaylor,5013
braddunbar,5011
takluyver,5011
crynobone,5009
cdcchen,5007
thebabydino,5004
baoshan,5001
stephenmcd,4999
Licenser,4986
djmitche,4981
AOKP-ROM,4978
postgres-mirror,4976
Montellese,4974
benlangfeld,4964
patriknw,4962
maniksarker,4956
pydanny,4950
moritz,4940
substack,4934
xtraeme,4930
mcdonc,4914
vim-scripts,4911
m78a,4907
p,4903
sf-issues,4901
jhpedemonte,4881
kopal2012,4878
bunuelo,4871
snandlal,4869
Benvie,4864
samoht,4860
rmandelb,4843
pershoot,4842
trans,4840
GaelVaroquaux,4840
brendo,4838
Carreau,4837
android,4833
tbranyen,4832
adriaanm,4809
illusionoflife,4800
sipa,4793
46Bit,4786
cjohansen,4784
woxxy,4780
stuartwdouglas,4777
rengolin,4772
benjaminoakes,4770
owainlewis,4765
yuyichao,4764
possibilities,4761
guille,4757
aerwin,4753
tdreyno,4748
bschussek,4746
okohll,4734
aaggarwa88,4727
colinta,4726
alq666,4720
everzet,4718
Naxx13,4716
rtyler,4711
Perrydu,4708
IgorMinar,4705
cs-test1,4703
daleharvey,4702
sraue,4698
lepture,4692
tneil,4692
myronmarston,4683
timhunt,4681
kensanata,4680
brianloveswords,4679
mistydemeo,4668
jpmckinney,4668
ugisozols,4663
drogus,4663
Constellation,4659
sunny256,4658
daviddoria,4657
irskep,4653
BBQ,4651
SirCmpwn,4640
lmorchard,4629
jonathanong,4626
pthrasher,4626
ogrisel,4625
sumiboss,4611
y-p,4609
sourcefabric,4600
kumar303,4599
hregis,4594
samdark,4591
callumski,4584
BobZhome,4579
guglielmo,4573
